#FOODID	vvkaj.00037	vvkaj.00002	vvkaj.00023	vvkaj.00029	vvkaj.00044	vvkaj.00045	vvkaj.00022	vvkaj.00024	vvkaj.00003	vvkaj.00016	vvkaj.00032	vvkaj.00038	vvkaj.00039	vvkaj.00007	vvkaj.00034	vvkaj.00004	vvkaj.00005	vvkaj.00011	vvkaj.00030	vvkaj.00010	vvkaj.00018	vvkaj.00033	vvkaj.00009	vvkaj.00026	vvkaj.00008	vvkaj.00031	vvkaj.00012	vvkaj.00027	vvkaj.00042	vvkaj.00025	vvkaj.00041	vvkaj.00006	vvkaj.00015	vvkaj.00013	vvkaj.00043	vvkaj.00028	vvkaj.00040	vvkaj.00014	vvkaj.00001	vvkaj.00021	vvkaj.00036	vvkaj.00019	vvkaj.00020	vvkaj.00035	vvkaj.00017	taxonomy
Fish chowder	0	0	0	0	0	0	0	0	0	0	0	77.6652	77.6652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Frozen_and_shelfstable_plate_meals_soups_and_gravies;L3_Soups_broths_extracts_from_meat_poultry_fish_base;L4_Fishshellfish_soups;Fish_chowder
Seafood soup with potatoes and vegetables including carrots broccoli and or dark green leafy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.46	0	0	0	0	0	0	0	0	0	0	0	L1_Meat_Poultry_Fish_and_Mixtures;L2_Frozen_and_shelfstable_plate_meals_soups_and_gravies;L3_Soups_broths_extracts_from_meat_poultry_fish_base;L4_Fishshellfish_soups;Seafood_soup_with_potatoes_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy
Egg whole boiled or poached	1.221	0	21.4896	0	10.7448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7448	0	0	0	0	0	0	0	0	0	0	21.4896	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Eggs;L3_Chicken_eggs;L4_Egg_whole_or_white;Egg_whole_boiled_or_poached
Egg whole fried with oil	0	0	0	0	0	0	45.7884	0	0	0	0	0	30.5256	0	0	0	0	0	13.272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Eggs;L3_Chicken_eggs;L4_Egg_whole_or_white;Egg_whole_fried_with_oil
Egg whole baked fat added in cooking	48.1086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Eggs;L3_Chicken_eggs;L4_Egg_whole_or_white;Egg_whole_baked_fat_added_in_cooking
Egg salad made with mayonnaise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.0044	0	0	0	0	0	0	L1_Eggs;L2_Egg_mixtures;L3_Egg_dishes_made_with_whole_eggs;L4_;Egg_salad_made_with_mayonnaise
Egg omelet or scrambled egg made with oil	0	0	0	17.4338	0	0	0	0	0	0	30.8664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.8664	0	0	15.4332	0	0	0	0	0	0	0	L1_Eggs;L2_Egg_mixtures;L3_Egg_dishes_made_with_whole_eggs;L4_Egg_omelet_or_scrambled;Egg_omelet_or_scrambled_egg_made_with_oil
Egg omelet or scrambled egg made with butter	0	0	0	0	0	0	0	0	0	0	0	0	0	33.9526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.9289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Egg_mixtures;L3_Egg_dishes_made_with_whole_eggs;L4_Egg_omelet_or_scrambled;Egg_omelet_or_scrambled_egg_made_with_butter
Egg omelet or scrambled egg with cheese and meat made with oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101.6778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Egg_mixtures;L3_Egg_dishes_made_with_whole_eggs;L4_Egg_omelet_or_scrambled;Egg_omelet_or_scrambled_egg_with_cheese_and_meat_made_with_oil
Egg omelet or scrambled egg with cheese and vegetables other than dark green and or tomatoes fat added in cooking	0	0	0	0	0	0	0	79.9614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.5036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Egg_mixtures;L3_Egg_dishes_made_with_whole_eggs;L4_Egg_omelet_or_scrambled;Egg_omelet_or_scrambled_egg_with_cheese_and_vegetables_other_than_dark_green_and_or_tomatoes_fat_added_in_cooking
Egg omelet or scrambled egg with cheese meat and dark green vegetables fat added in cooking	0	0	0	0	0	0	0	0	0	0	0	86.5998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Egg_mixtures;L3_Egg_dishes_made_with_whole_eggs;L4_Egg_omelet_or_scrambled;Egg_omelet_or_scrambled_egg_with_cheese_meat_and_dark_green_vegetables_fat_added_in_cooking
White beans dry cooked fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.38575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;White_beans_dry_cooked_fat_not_added_in_cooking
Soybeans dry cooked fat not added in cooking	0	0	0	0	0	34.029	0	0	0	0	0	0	0	0	0	0	0	0	17.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0145	34.029	34.029	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans;L4_Beans_NS_to_type;Soybeans_dry_cooked_fat_not_added_in_cooking
Refried beans fat added in cooking NS as to type of fat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.63245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.816225	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;Refried_beans_fat_added_in_cooking_NS_as_to_type_of_fat
Refried beans from restaurant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.02395	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;Refried_beans_from_restaurant
Hummus plain	0	0	0	0	0	0	0	0	0	0	14.553	0	0	0	16.9785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.553	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;Hummus_plain
Hummus flavored	0	16.8245	0	0	0	0	0	0	21.6315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;Hummus_flavored
Falafel	0	0	0	0	0	0	0	0	0	6.8901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;Falafel
Chickpeas dry cooked fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.550625	0	0	0	0	0	0	0	0	0	9.03375	36.135	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;Chickpeas_dry_cooked_fat_not_added_in_cooking
Lentils dry cooked made with oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.90875	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;Lentils_dry_cooked_made_with_oil
Lentils dry cooked fat not added in cooking	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.639	0	0	0	0	0	13.8195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_peas_lentils_and_mixtures;L4_;Lentils_dry_cooked_fat_not_added_in_cooking
Soybean curd	0	15.288	0	15.288	7.644	15.288	0	0	0	0	0	0	0	0	0	0	0	0	7.8988	0	0	0	0	0	0	15.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;Soybean_curd
Edamame cooked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.66195	0	0	0	12.66195	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;Edamame_cooked
Soy sauce	0	0	0	4.126704	8.258557725	7.7895	0	0	0	0	0	0	0	0	0	0	0	0	5.193	0	0	0	0	0	0	0	0	0	0	0	0	0	3.065557725	2.5965	15.579	9.79096875	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;Soy_sauce
Soybean curd deep fried	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.02758	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;Soybean_curd_deep_fried
Soybean soup miso broth	0	0	0	29.952	19.968	19.968	0	0	0	0	0	0	0	0	0	0	0	0	39.936	0	0	0	19.968	0	0	0	0	0	0	0	0	0	9.98399999999999	19.968	19.968	19.968	0	59.904	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soups_with_legumes_as_major_ingredient;L4_;Soybean_soup_miso_broth
Vegetarian burger or patty meatless no bun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.6939	0	0	0	0	0	0	0	0	0	0	0	0	27.153	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;Vegetarian_burger_or_patty_meatless_no_bun
Vegetarian chili made with meat substitute	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.3267	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;Vegetarian_chili_made_with_meat_substitute
Tofu and vegetables including carrots broccoli and or dark green leafy no potatoes with soy based sauce	0	0	0	0	0	0	35.9352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.9838	0	0	71.8704	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein;L4_;Tofu_and_vegetables_including_carrots_broccoli_and_or_dark_green_leafy_no_potatoes_with_soy_based_sauce
Almonds salted	0	0	0	0	0	0	0	0	0	0	34.4322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Nuts_NFS;Almonds_salted
Almonds lightly salted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.428675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Nuts_NFS;Almonds_lightly_salted
Cashews salted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Nuts_NFS;Cashews_salted
Mixed nuts NFS	0	13.03160625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.03160625	0	0	0	0	0	0	0	13.03160625	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;Mixed_nuts_NFS
Mixed nuts without peanuts unsalted	0	0	0	0	0	0	0	0	0	48.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;Mixed_nuts_without_peanuts_unsalted
Peanuts roasted unsalted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.985375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;Peanuts_roasted_unsalted
Pecans unsalted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;Pecans_unsalted
Walnuts	0	0	0	0	0	0	11.5116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5116	0	0	47.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.965	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;Walnuts
Peanut butter	0	0	0	0	0	0	0	0	0	15.8032	0	0	0	0	0	0	0	0	0	0	23.7048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;Peanut_butter
Peanut sauce	0	0	0	0	0	0	20.685375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;Peanut_sauce
Coconut water sweetened	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.352	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Coconut_beverages;L4_;Coconut_water_sweetened
Trail mix with nuts and fruit	0	0	0	0	0	0	0	0	45.605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_mixtures;L4_;Trail_mix_with_nuts_and_fruit
Pumpkin seeds unsalted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Seeds_and_seed_mixtures;L3_Seeds;L4_Seeds_NS;Pumpkin_seeds_unsalted
Sunflower seeds plain salted	0	0	0	0	0	0	0	0	0	0	0	0	0	11.36315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Seeds_and_seed_mixtures;L3_Seeds;L4_Seeds_NS;Sunflower_seeds_plain_salted
Sesame seeds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Seeds_and_seed_mixtures;L3_Seeds;L4_Seeds_NS;Sesame_seeds
Bread white	0	0	0	0	0	35.6048	0	0	0	0	0	0	0	0	0	0	0	71.2096	0	0	0	0	0	0	0	0	0	0	34.96925432	0	0	0	0	0	0	0	34.96925432	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_White_breads_rolls;L4_White_breads_rolls;Bread_white
Bread white toasted	0	0	0	0	17.4	0	0	0	0	0	17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_White_breads_rolls;L4_White_breads_rolls;Bread_white_toasted
Bread pita	0	0	0	0	0	0	0	0	0	38.703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_White_breads_rolls;L4_White_breads_rolls;Bread_pita
Garlic bread with parmesan cheese from fast food restaurant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.0834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_White_breads_rolls;L4_Bread_with_additions;Garlic_bread_with_parmesan_cheese_from_fast_food_restaurant
Bread raisin	0	0	0	18.3904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_White_breads_rolls;L4_Bread_with_additions;Bread_raisin
Roll white hamburger bun	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.1432	0	0	0	0	0	0	34.1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_White_breads_rolls;L4_Rolls;Roll_white_hamburger_bun
Croutons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_White_breads_rolls;L4_Bagels_bread_sticks_English_muffins;Croutons
Bread whole wheat toasted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.1378	0	0	0	0	0	0	0	0	0	44.2332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_Wheat_cracked_wheat_breads_rolls;L4_Wheat_cracked_wheat_breads_rolls;Bread_whole_wheat_toasted
Bread wheat or cracked wheat toasted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.7875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_Wheat_cracked_wheat_breads_rolls;L4_Wheat_cracked_wheat_breads_rolls;Bread_wheat_or_cracked_wheat_toasted
Bread pita whole wheat	0	0	0	0	0	0	0	0	39.558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_Wheat_cracked_wheat_breads_rolls;L4_Wheat_cracked_wheat_breads_rolls;Bread_pita_whole_wheat
Roll whole wheat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_Wheat_cracked_wheat_breads_rolls;L4_Wheat_cracked_wheat_breads_rolls;Roll_whole_wheat
Bread rye toasted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_Rye_breads_rolls;L4_Bread_rye;Bread_rye_toasted
Bread multigrain toasted	0	27.027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Yeast;L3_Multigrain_breads_rolls;L4_Bread_multigrain;Bread_multigrain_toasted
Tortilla corn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Quick_breads;L3_Cornbread_corn_muffins_tortillas;L4_Tortillas;Tortilla_corn
Tortilla flour	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.609	0	0	0	0	0	0	0	0	0	0	0	0	48.2942	0	0	0	0	0	L1_Grain_Product;L2_Quick_breads;L3_Cornbread_corn_muffins_tortillas;L4_Tortillas;Tortilla_flour
Cake or cupcake chocolate devil s food or fudge without icing or filling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.046495	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cakes;L4_Cakes;Cake_or_cupcake_chocolate_devil_s_food_or_fudge_without_icing_or_filling
Snack cake not chocolate with icing or filling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.978	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cakes;L4_Cakes;Snack_cake_not_chocolate_with_icing_or_filling
Cake or cupcake yellow with icing or filling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.215	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cakes;L4_Cake;Cake_or_cupcake_yellow_with_icing_or_filling
Cookie brownie with icing or filling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.1455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies;L4_Cookies;Cookie_brownie_with_icing_or_filling
Cookie chocolate chip	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.3935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies;L4_Cookies;Cookie_chocolate_chip
Cookie chocolate chip made from home recipe or purchased at a bakery	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.374	0	0	0	0	0	0	42.687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies;L4_Cookies;Cookie_chocolate_chip_made_from_home_recipe_or_purchased_at_a_bakery
Cookie graham cracker with chocolate and marshmallow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies;L4_Cookies;Cookie_graham_cracker_with_chocolate_and_marshmallow
Cookie butter or sugar	0	0	0	0	0	18.742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies;L4_Cookies;Cookie_butter_or_sugar
Pie apple two crust	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Pies_fruit_pies_pie_tarts;L4_Pies_fruit_pies_pie_tarts;Pie_apple_two_crust
Pie apple individual size or tart	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.2	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Pies_fruit_pies_pie_tarts;L4_Pies_fruit_pies_pie_tarts;Pie_apple_individual_size_or_tart
Pie lemon meringue	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.43884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Pies_fruit_pies_pie_tarts;L4_Pies_pudding_and_lemon_meringue;Pie_lemon_meringue
Doughnut raised or yeast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Danish_breakfast_pastries_doughnuts;L4_Doughnut;Doughnut_raised_or_yeast
